id,kode,NAME_1,JOKO WIDODO & JUSUF KALLA,PRABOWO SUBIANTO & M. HATTA RAJASA,PEMENANG,name,latitude,longitude
0,11,Aceh,45.61,54.39,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Aceh,4.695135,96.7493993
1,51,Bali,71.42,28.58,JOKO WIDODO & JUSUF KALLA,Provinsi Bali,-8.4095178,115.188916
2,19,Bangka-Belitung,67.26,32.74,JOKO WIDODO & JUSUF KALLA,Provinsi Kepulauan Bangka Belitung,-2.7410513,106.4405872
3,36,Banten,42.9,57.1,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Banten,-6.4058172,106.0640179
4,17,Bengkulu,54.73,45.27,JOKO WIDODO & JUSUF KALLA,Provinsi Bengkulu,-3.5778471,102.3463875
5,75,Gorontalo,36.9,63.1,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Gorontalo,0.6999372,122.4467238
6,91,Irian Jaya Barat,67.63,32.37,JOKO WIDODO & JUSUF KALLA,Provinsi Papua Barat,-1.3361154,133.1747162
7,31,Jakarta Raya,53.08,46.92,JOKO WIDODO & JUSUF KALLA,Provinsi DKI Jakarta,-6.211544,106.845172
8,15,Jambi,50.75,49.25,JOKO WIDODO & JUSUF KALLA,Provinsi Jambi,-1.4851831,102.4380581
9,32,Jawa Barat,40.22,59.78,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Jawa Barat,-7.090911,107.668887
10,33,Jawa Tengah,66.65,33.35,JOKO WIDODO & JUSUF KALLA,Provinsi Jawa Tengah,-7.150975,110.1402594
11,35,Jawa Timur,53.17,46.83,JOKO WIDODO & JUSUF KALLA,Provinsi Jawa Timur,-7.5360639,112.2384017
12,61,Kalimantan Barat,60.38,39.62,JOKO WIDODO & JUSUF KALLA,Provinsi Kalimantan Barat,-0.2787808,111.4752851
13,63,Kalimantan Selatan,49.95,50.05,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Kalimantan Selatan,-3.0926415,115.2837585
14,62,Kalimantan Tengah,59.79,40.21,JOKO WIDODO & JUSUF KALLA,Provinsi Kalimantan Tengah,-1.6814878,113.3823545
15,64,Kalimantan Timur,63.38,36.62,JOKO WIDODO & JUSUF KALLA,Provinsi Kalimantan Timur,1.6406296,116.419389
16,65,Kalimantan Utara,0,0,BELUM MEKAR,Provinsi Kalimantan Utara,2.7470449,117.3263271
17,21,Kepulauan Riau,59.63,40.37,JOKO WIDODO & JUSUF KALLA,Provinsi Kepulauan Riau,3.9456514,108.1428669
18,18,Lampung,53.07,46.93,JOKO WIDODO & JUSUF KALLA,Provinsi Lampung,-4.5585849,105.4068079
19,82,Maluku Utara,45.55,54.45,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Maluku Utara,1.5709993,127.8087693
20,81,Maluku,50.52,49.48,JOKO WIDODO & JUSUF KALLA,Provinsi Maluku,-3.2384616,130.1452734
21,52,Nusa Tenggara Barat,27.55,72.45,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Nusa Tenggara Barat,-8.6529334,117.3616476
22,53,Nusa Tenggara Timur,65.92,34.08,JOKO WIDODO & JUSUF KALLA,Provinsi Nusa Tenggara Timur,-8.6573819,121.0793705
23,94,Papua,72.49,27.51,JOKO WIDODO & JUSUF KALLA,Provinsi Papua,-4.269928,138.0803529
24,14,Riau,49.88,50.12,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Riau,0.2933469,101.7068294
25,76,Sulawesi Barat,73.37,26.63,JOKO WIDODO & JUSUF KALLA,Provinsi Sulawesi Barat,-2.8441371,119.2320784
26,73,Sulawesi Selatan,71.43,28.57,JOKO WIDODO & JUSUF KALLA,Provinsi Sulawesi Selatan,-3.6687994,119.9740534
27,72,Sulawesi Tengah,54.83,45.17,JOKO WIDODO & JUSUF KALLA,Provinsi Sulawesi Tengah,-1.4300254,121.4456179
28,74,Sulawesi Tenggara,54.9,45.1,JOKO WIDODO & JUSUF KALLA,Provinsi Sulawesi Tenggara,-4.14491,122.174605
29,71,Sulawesi Utara,53.88,46.12,JOKO WIDODO & JUSUF KALLA,Provinsi Sulawesi Utara,0.6246932,123.9750018
30,13,Sumatera Barat,23.08,76.92,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Sumatera Barat,-0.7399397,100.8000051
31,16,Sumatera Selatan,48.74,51.26,PRABOWO SUBIANTO & M. HATTA RAJASA,Provinsi Sumatera Selatan,-3.3194374,103.914399
32,12,Sumatera Utara,55.24,44.76,JOKO WIDODO & JUSUF KALLA,Provinsi Sumatera Utara,2.1153547,99.5450974
33,34,Yogyakarta,55.81,44.19,JOKO WIDODO & JUSUF KALLA,Provinsi DI Yogyakarta,-7.8753849,110.4262088
